01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Indicador,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
1999,Polónia,,PIB per capita,,,, euros por pessoa,,4190
1999,Portugal,,PIB per capita,,,, euros por pessoa,,11710
1999,Roménia,,PIB per capita,,,, euros por pessoa,,1500
1999,Suécia,,PIB per capita,,,, euros por pessoa,,29050
2000,,Portugal,PIB per capita,,,, euros por pessoa,,12480
2000,Alemanha,,PIB per capita,,,, euros por pessoa,,26140
2000,Áustria,,PIB per capita,,,, euros por pessoa,,26510
2000,Bélgica,,PIB per capita,,,, euros por pessoa,,25010
2000,Bulgária,,PIB per capita,,,, euros por pessoa,,1770
2000,Chéquia,,PIB per capita,,,, euros por pessoa,,6560
2000,Chipre,,PIB per capita,,,, euros por pessoa,,15570
2000,Croácia,,PIB per capita,,,, euros por pessoa,,5290
2000,Dinamarca,,PIB per capita,,,, euros por pessoa,,33320
2000,Eslováquia,,PIB per capita,,,, euros por pessoa,,4140
2000,Eslovénia,,PIB per capita,,,, euros por pessoa,,10920
2000,Espanha,,PIB per capita,,,, euros por pessoa,,15970
2000,Estónia,,PIB per capita,,,, euros por pessoa,,4400
2000,Finlândia,,PIB per capita,,,, euros por pessoa,,26350
2000,França,,PIB per capita,,,, euros por pessoa,,24260
2000,Grécia,,PIB per capita,,,, euros por pessoa,,12750
2000,Hungria,,PIB per capita,,,, euros por pessoa,,5020
2000,Irlanda,,PIB per capita,,,, euros por pessoa,,28520
2000,Itália,,PIB per capita,,,, euros por pessoa,,21860
2000,Letónia,,PIB per capita,,,, euros por pessoa,,3560
2000,Lituânia,,PIB per capita,,,, euros por pessoa,,3570
2000,Luxemburgo,,PIB per capita,,,, euros por pessoa,,52600
2000,Malta,,PIB per capita,,,, euros por pessoa,,11330
2000,Países Baixos,,PIB per capita,,,, euros por pessoa,,28390
2000,Polónia,,PIB per capita,,,, euros por pessoa,,4900
2000,Portugal,,PIB per capita,,,, euros por pessoa,,12480
2000,Roménia,,PIB per capita,,,, euros por pessoa,,1810
2000,Suécia,,PIB per capita,,,, euros por pessoa,,32150
2001,,Portugal,PIB per capita,,,, euros por pessoa,,13102
2001,Alemanha,,PIB per capita,,,, euros por pessoa,,26930
2001,Áustria,,PIB per capita,,,, euros por pessoa,,27280
2001,Bélgica,,PIB per capita,,,, euros por pessoa,,25700
2001,Bulgária,,PIB per capita,,,, euros por pessoa,,2010
2001,Chéquia,,PIB per capita,,,, euros por pessoa,,7440
2001,Chipre,,PIB per capita,,,, euros por pessoa,,16540
2001,Croácia,,PIB per capita,,,, euros por pessoa,Quebra de série,6030
2001,Dinamarca,,PIB per capita,,,, euros por pessoa,,34370
2001,Eslováquia,,PIB per capita,,,, euros por pessoa,Quebra de série,4440
2001,Eslovénia,,PIB per capita,,,, euros por pessoa,,11560
2001,Espanha,,PIB per capita,,,, euros por pessoa,,17190
2001,Estónia,,PIB per capita,,,, euros por pessoa,,5010
2001,Finlândia,,PIB per capita,,,, euros por pessoa,,27870
2001,França,,PIB per capita,,,, euros por pessoa,,25010
2001,Grécia,,PIB per capita,,,, euros por pessoa,,13570
2001,Hungria,,PIB per capita,,,, euros por pessoa,,5900
2001,Irlanda,,PIB per capita,,,, euros por pessoa,,31600
2001,Itália,,PIB per capita,,,, euros por pessoa,,22970
2001,Letónia,,PIB per capita,,,, euros por pessoa,,3930
2001,Lituânia,,PIB per capita,,,, euros por pessoa,,3940
2001,Luxemburgo,,PIB per capita,,,, euros por pessoa,,54040
2001,Malta,,PIB per capita,,,, euros por pessoa,,11560
2001,Países Baixos,,PIB per capita,,,, euros por pessoa,,30100
2001,Polónia,,PIB per capita,,,, euros por pessoa,,5590
2001,Portugal,,PIB per capita,,,, euros por pessoa,,13100
2001,Roménia,,PIB per capita,,,, euros por pessoa,,2010
2001,Suécia,,PIB per capita,,,, euros por pessoa,,30420
2002,,Portugal,PIB per capita,,,, euros por pessoa,,13681
2002,Alemanha,,PIB per capita,,,, euros por pessoa,,27250
2002,Áustria,,PIB per capita,,,, euros por pessoa,,27850
2002,Bélgica,,PIB per capita,,,, euros por pessoa,,26450
2002,Bulgária,,PIB per capita,,,, euros por pessoa,,2220
2002,Chéquia,,PIB per capita,,,, euros por pessoa,,8610
2002,Chipre,,PIB per capita,,,, euros por pessoa,,17030
2002,Croácia,,PIB per capita,,,, euros por pessoa,,6680
2002,Dinamarca,,PIB per capita,,,, euros por pessoa,,35340
2002,Eslováquia,,PIB per capita,,,, euros por pessoa,,4890
2002,Eslovénia,,PIB per capita,,,, euros por pessoa,,12370
2002,Espanha,,PIB per capita,,,, euros por pessoa,,18100
2002,Estónia,,PIB per capita,,,, euros por pessoa,,5660
2002,Finlândia,,PIB per capita,,,, euros por pessoa,,28540
2002,França,,PIB per capita,,,, euros por pessoa,,25610
2002,Grécia,,PIB per capita,,,, euros por pessoa,,14580
2002,Hungria,,PIB per capita,,,, euros por pessoa,,7070
2002,Irlanda,,PIB per capita,,,, euros por pessoa,,34590
2002,Itália,,PIB per capita,,,, euros por pessoa,,23740
2002,Letónia,,PIB per capita,,,, euros por pessoa,,4260
2002,Lituânia,,PIB per capita,,,, euros por pessoa,,4410
2002,Luxemburgo,,PIB per capita,,,, euros por pessoa,,56000
2002,Malta,,PIB per capita,,,, euros por pessoa,,11930
2002,Países Baixos,,PIB per capita,,,, euros por pessoa,,31140
2002,Polónia,,PIB per capita,,,, euros por pessoa,,5520
2002,Portugal,,PIB per capita,,,, euros por pessoa,,13680
2002,Roménia,,PIB per capita,,,, euros por pessoa,,2250
2002,Suécia,,PIB per capita,,,, euros por pessoa,,31830
2003,,Portugal,PIB per capita,,,, euros por pessoa,,13966
2003,Alemanha,,PIB per capita,,,, euros por pessoa,,27480
2003,Áustria,,PIB per capita,,,, euros por pessoa,,28400
2003,Bélgica,,PIB per capita,,,, euros por pessoa,,27100
2003,Bulgária,,PIB per capita,,,, euros por pessoa,,2400
2003,Chéquia,,PIB per capita,,,, euros por pessoa,,8720
2003,Chipre,,PIB per capita,,,, euros por pessoa,,17920
2003,Croácia,,PIB per capita,,,, euros por pessoa,,7200
2003,Dinamarca,,PIB per capita,,,, euros por pessoa,,35930
2003,Eslováquia,,PIB per capita,,,, euros por pessoa,,5560
2003,Eslovénia,,PIB per capita,,,, euros por pessoa,,13030
2003,Espanha,,PIB per capita,,,, euros por pessoa,,19020
2003,Estónia,,PIB per capita,,,, euros por pessoa,,6360
2003,Finlândia,,PIB per capita,,,, euros por pessoa,,29100
2003,França,,PIB per capita,,,, euros por pessoa,,26140
2003,Grécia,,PIB per capita,,,, euros por pessoa,,15930
2003,Hungria,,PIB per capita,,,, euros por pessoa,,7440
2003,Irlanda,,PIB per capita,,,, euros por pessoa,,36420
2003,Itália,,PIB per capita,,,, euros por pessoa,,24380
2003,Letónia,,PIB per capita,,,, euros por pessoa,,4380
2003,Lituânia,,PIB per capita,,,, euros por pessoa,,4880
2003,Luxemburgo,,PIB per capita,,,, euros por pessoa,,57990
2003,Malta,,PIB per capita,,,, euros por pessoa,,12030
2003,Países Baixos,,PIB per capita,,,, euros por pessoa,,31740
2003,Polónia,,PIB per capita,,,, euros por pessoa,,5060
2003,Portugal,,PIB per capita,,,, euros por pessoa,,13970
2003,Roménia,,PIB per capita,,,, euros por pessoa,,2370
2003,Suécia,,PIB per capita,,,, euros por pessoa,,33050
