01. Ano,02. Nome Região (Portugal),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1973,Portugal,Bebidas alcoólicas e tabaco,,,,,15.61
1973,Portugal,Bens e serviços diversos,,,,,10.91
1973,Portugal,Comunicações,,,,,0.00
1973,Portugal,Educação,,,,,-17.43
1973,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,21.19
1973,Portugal,"Lazer, recreação e cultura",,,,,8.13
1973,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,8.33
1973,Portugal,Restaurantes e hotéis,,,,,12.85
1973,Portugal,Saúde,,,,,6.79
1973,Portugal,Total,,,,,13.05
1973,Portugal,Transportes,,,,,25.78
1973,Portugal,Vestuário e calçado,,,,,16.53
1974,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,18.85
1974,Portugal,Bebidas alcoólicas e tabaco,,,,,19.87
1974,Portugal,Bens e serviços diversos,,,,,25.06
1974,Portugal,Comunicações,,,,,49.81
1974,Portugal,Educação,,,,,3.60
1974,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,19.56
1974,Portugal,"Lazer, recreação e cultura",,,,,32.73
1974,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,33.15
1974,Portugal,Restaurantes e hotéis,,,,,29.46
1974,Portugal,Saúde,,,,,21.86
1974,Portugal,Total,,,,,26.19
1974,Portugal,Transportes,,,,,16.11
1974,Portugal,Vestuário e calçado,,,,,23.96
1975,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,17.51
1975,Portugal,Bebidas alcoólicas e tabaco,,,,,16.41
1975,Portugal,Bens e serviços diversos,,,,,17.82
1975,Portugal,Comunicações,,,,,40.31
1975,Portugal,Educação,,,,,7.35
1975,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,7.29
1975,Portugal,"Lazer, recreação e cultura",,,,,39.17
1975,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,23.31
1975,Portugal,Restaurantes e hotéis,,,,,21.97
1975,Portugal,Saúde,,,,,8.15
1975,Portugal,Total,,,,,17.25
1975,Portugal,Transportes,,,,,16.32
1975,Portugal,Vestuário e calçado,,,,,7.21
1976,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,4.13
1976,Portugal,Bebidas alcoólicas e tabaco,,,,,12.02
1976,Portugal,Bens e serviços diversos,,,,,6.87
1976,Portugal,Comunicações,,,,,31.50
1976,Portugal,Educação,,,,,0.00
1976,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,25.79
1976,Portugal,"Lazer, recreação e cultura",,,,,11.46
1976,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,21.61
1976,Portugal,Restaurantes e hotéis,,,,,24.09
1976,Portugal,Saúde,,,,,21.26
1976,Portugal,Total,,,,,19.90
1976,Portugal,Transportes,,,,,34.70
1976,Portugal,Vestuário e calçado,,,,,9.13
1977,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,21.42
1977,Portugal,Bebidas alcoólicas e tabaco,,,,,12.69
1977,Portugal,Bens e serviços diversos,,,,,19.58
1977,Portugal,Comunicações,,,,,29.26
1977,Portugal,Educação,,,,,4.67
1977,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,15.19
1977,Portugal,"Lazer, recreação e cultura",,,,,28.12
1977,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,35.81
1977,Portugal,Restaurantes e hotéis,,,,,20.44
1977,Portugal,Saúde,,,,,25.52
1977,Portugal,Total,,,,,26.73
1977,Portugal,Transportes,,,,,39.67
1977,Portugal,Vestuário e calçado,,,,,12.93
1978,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,19.58
1978,Portugal,Bebidas alcoólicas e tabaco,,,,,65.69
1978,Portugal,Bens e serviços diversos,,,,,41.89
1978,Portugal,Comunicações,,,,,37.88
1978,Portugal,Educação,,,,,17.20
1978,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,13.29
1978,Portugal,"Lazer, recreação e cultura",,,,,13.86
1978,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,18.71
1978,Portugal,Restaurantes e hotéis,,,,,26.70
1978,Portugal,Saúde,,,,,17.83
1978,Portugal,Total,,,,,20.86
1978,Portugal,Transportes,,,,,19.47
1978,Portugal,Vestuário e calçado,,,,,17.66
1979,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,9.25
1979,Portugal,Bebidas alcoólicas e tabaco,,,,,33.17
1979,Portugal,Bens e serviços diversos,,,,,19.67
1979,Portugal,Comunicações,,,,,27.72
1979,Portugal,Educação,,,,,11.05
1979,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,9.76
1979,Portugal,"Lazer, recreação e cultura",,,,,18.87
1979,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,26.93
1979,Portugal,Restaurantes e hotéis,,,,,23.42
1979,Portugal,Saúde,,,,,9.23
1979,Portugal,Total,,,,,21.72
1979,Portugal,Transportes,,,,,18.51
1979,Portugal,Vestuário e calçado,,,,,24.08
1980,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,23.34
1980,Portugal,Bebidas alcoólicas e tabaco,,,,,-18.41
1980,Portugal,Bens e serviços diversos,,,,,23.18
1980,Portugal,Comunicações,,,,,12.50
1980,Portugal,Educação,,,,,9.82
1980,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,14.03
1980,Portugal,"Lazer, recreação e cultura",,,,,19.86
1980,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,15.82
1980,Portugal,Restaurantes e hotéis,,,,,15.86
1980,Portugal,Saúde,,,,,10.10
1980,Portugal,Total,,,,,16.05
1980,Portugal,Transportes,,,,,26.97
1980,Portugal,Vestuário e calçado,,,,,33.43
1981,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,19.48
1981,Portugal,Bebidas alcoólicas e tabaco,,,,,19.19
1981,Portugal,Bens e serviços diversos,,,,,21.01
1981,Portugal,Comunicações,,,,,30.24
1981,Portugal,Educação,,,,,14.00
1981,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,12.79
1981,Portugal,"Lazer, recreação e cultura",,,,,15.67
1981,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,19.48
1981,Portugal,Restaurantes e hotéis,,,,,19.84
1981,Portugal,Saúde,,,,,12.62
1981,Portugal,Total,,,,,19.21
1981,Portugal,Transportes,,,,,24.90
1981,Portugal,Vestuário e calçado,,,,,22.21
1982,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,17.97
1982,Portugal,Bebidas alcoólicas e tabaco,,,,,22.56
1982,Portugal,Bens e serviços diversos,,,,,16.71
1982,Portugal,Comunicações,,,,,0.70
1982,Portugal,Educação,,,,,19.56
1982,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,13.37
1982,Portugal,"Lazer, recreação e cultura",,,,,19.01
1982,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,24.83
1982,Portugal,Restaurantes e hotéis,,,,,22.31
1982,Portugal,Saúde,,,,,17.87
1982,Portugal,Total,,,,,21.48
1982,Portugal,Transportes,,,,,28.34
1982,Portugal,Vestuário e calçado,,,,,16.79
1983,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,21.10
1983,Portugal,Bebidas alcoólicas e tabaco,,,,,8.07
1983,Portugal,Bens e serviços diversos,,,,,22.95
1983,Portugal,Comunicações,,,,,35.85
1983,Portugal,Educação,,,,,25.51
1983,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,19.89
1983,Portugal,"Lazer, recreação e cultura",,,,,21.30
1983,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,26.42
1983,Portugal,Restaurantes e hotéis,,,,,23.94
1983,Portugal,Saúde,,,,,24.73
1983,Portugal,Total,,,,,24.00
1983,Portugal,Transportes,,,,,32.39
1983,Portugal,Vestuário e calçado,,,,,19.47
1984,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,29.92
1984,Portugal,Bebidas alcoólicas e tabaco,,,,,19.23
1984,Portugal,Bens e serviços diversos,,,,,22.89
1984,Portugal,Comunicações,,,,,21.49
1984,Portugal,Educação,,,,,28.62
1984,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,27.66
1984,Portugal,"Lazer, recreação e cultura",,,,,30.66
1984,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,32.10
1984,Portugal,Restaurantes e hotéis,,,,,24.96
1984,Portugal,Saúde,,,,,28.01
1984,Portugal,Total,,,,,28.48
1984,Portugal,Transportes,,,,,23.53
1984,Portugal,Vestuário e calçado,,,,,22.87
1985,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,23.04
1985,Portugal,Bebidas alcoólicas e tabaco,,,,,22.94
1985,Portugal,Bens e serviços diversos,,,,,21.63
1985,Portugal,Comunicações,,,,,24.74
1985,Portugal,Educação,,,,,22.92
1985,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,17.37
1985,Portugal,"Lazer, recreação e cultura",,,,,19.52
1985,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,17.62
1985,Portugal,Restaurantes e hotéis,,,,,19.83
1985,Portugal,Saúde,,,,,20.19
1985,Portugal,Total,,,,,19.55
1985,Portugal,Transportes,,,,,22.49
1985,Portugal,Vestuário e calçado,,,,,23.62
1986,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,14.17
1986,Portugal,Bebidas alcoólicas e tabaco,,,,,14.07
1986,Portugal,Bens e serviços diversos,,,,,21.03
1986,Portugal,Comunicações,,,,,9.15
1986,Portugal,Educação,,,,,21.58
1986,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,14.93
1986,Portugal,"Lazer, recreação e cultura",,,,,12.52
1986,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,8.48
1986,Portugal,Restaurantes e hotéis,,,,,15.41
1986,Portugal,Saúde,,,,,20.99
1986,Portugal,Total,,,,,12.56
1986,Portugal,Transportes,,,,,12.73
1986,Portugal,Vestuário e calçado,,,,,23.29
1987,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,9.30
1987,Portugal,Bebidas alcoólicas e tabaco,,,,,10.80
1987,Portugal,Bens e serviços diversos,,,,,10.64
1987,Portugal,Comunicações,,,,,-2.30
1987,Portugal,Educação,,,,,15.61
1987,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,9.71
1987,Portugal,"Lazer, recreação e cultura",,,,,10.47
1987,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,8.58
1987,Portugal,Restaurantes e hotéis,,,,,11.78
1987,Portugal,Saúde,,,,,9.00
1987,Portugal,Total,,,,,9.75
1987,Portugal,Transportes,,,,,6.68
1987,Portugal,Vestuário e calçado,,,,,16.93
1988,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,9.74
1988,Portugal,Bebidas alcoólicas e tabaco,,,,,16.40
1988,Portugal,Bens e serviços diversos,,,,,9.13
1988,Portugal,Comunicações,,,,,-1.27
1988,Portugal,Educação,,,,,8.83
1988,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,14.88
1988,Portugal,"Lazer, recreação e cultura",,,,,9.49
1988,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,7.62
1988,Portugal,Restaurantes e hotéis,,,,,12.62
1988,Portugal,Saúde,,,,,10.20
1988,Portugal,Total,,,,,9.95
1988,Portugal,Transportes,,,,,7.51
1988,Portugal,Vestuário e calçado,,,,,13.53
1989,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,10.49
1989,Portugal,Bebidas alcoólicas e tabaco,,,,,37.21
1989,Portugal,Bens e serviços diversos,,,,,17.50
1989,Portugal,Comunicações,,,,,3.55
1989,Portugal,Educação,,,,,16.31
1989,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,13.90
1989,Portugal,"Lazer, recreação e cultura",,,,,6.76
1989,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,10.46
1989,Portugal,Restaurantes e hotéis,,,,,16.99
1989,Portugal,Saúde,,,,,11.98
1989,Portugal,Total,,,,,12.49
1989,Portugal,Transportes,,,,,9.29
1989,Portugal,Vestuário e calçado,,,,,10.51
1990,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,9.63
1990,Portugal,Bebidas alcoólicas e tabaco,,,,,8.16
1990,Portugal,Bens e serviços diversos,,,,,23.60
1990,Portugal,Comunicações,,,,,8.07
1990,Portugal,Educação,,,,,15.70
1990,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,17.22
1990,Portugal,"Lazer, recreação e cultura",,,,,9.13
1990,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,14.05
1990,Portugal,Restaurantes e hotéis,,,,,15.18
1990,Portugal,Saúde,,,,,12.42
1990,Portugal,Total,,,,,13.59
1990,Portugal,Transportes,,,,,15.38
1990,Portugal,Vestuário e calçado,,,,,9.59
1991,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,10.71
1991,Portugal,Bebidas alcoólicas e tabaco,,,,,7.30
1991,Portugal,Bens e serviços diversos,,,,,11.59
1991,Portugal,Comunicações,,,,,8.50
1991,Portugal,Educação,,,,,12.31
1991,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,22.01
1991,Portugal,"Lazer, recreação e cultura",,,,,9.07
1991,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,7.83
1991,Portugal,Restaurantes e hotéis,,,,,16.26
1991,Portugal,Saúde,,,,,14.33
1991,Portugal,Total,,,,,11.79
1991,Portugal,Transportes,,,,,11.93
1991,Portugal,Vestuário e calçado,,,,,11.93
1992,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,9.41
1992,Portugal,Bebidas alcoólicas e tabaco,,,,,6.30
1992,Portugal,Bens e serviços diversos,,,,,13.46
1992,Portugal,Comunicações,,,,,7.96
1992,Portugal,Educação,,,,,18.38
1992,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,14.14
1992,Portugal,"Lazer, recreação e cultura",,,,,5.26
1992,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,6.04
1992,Portugal,Restaurantes e hotéis,,,,,12.06
1992,Portugal,Saúde,,,,,15.34
1992,Portugal,Total,,,,,9.56
1992,Portugal,Transportes,,,,,9.01
1992,Portugal,Vestuário e calçado,,,,,11.79
1993,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,6.07
1993,Portugal,Bebidas alcoólicas e tabaco,,,,,6.80
1993,Portugal,Bens e serviços diversos,,,,,13.55
1993,Portugal,Comunicações,,,,,6.59
1993,Portugal,Educação,,,,,28.54
1993,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,9.14
1993,Portugal,"Lazer, recreação e cultura",,,,,9.53
1993,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,0.92
1993,Portugal,Restaurantes e hotéis,,,,,7.71
1993,Portugal,Saúde,,,,,12.58
1993,Portugal,Total,,,,,6.78
1993,Portugal,Transportes,,,,,10.59
1993,Portugal,Vestuário e calçado,,,,,6.97
1994,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,2.51
1994,Portugal,Bebidas alcoólicas e tabaco,,,,,11.92
1994,Portugal,Bens e serviços diversos,,,,,10.03
1994,Portugal,Comunicações,,,,,2.80
1994,Portugal,Educação,,,,,17.96
1994,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,6.77
1994,Portugal,"Lazer, recreação e cultura",,,,,4.04
1994,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,3.69
1994,Portugal,Restaurantes e hotéis,,,,,5.45
1994,Portugal,Saúde,,,,,9.05
1994,Portugal,Total,,,,,5.42
1994,Portugal,Transportes,,,,,5.35
1994,Portugal,Vestuário e calçado,,,,,4.21
1995,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,3.38
1995,Portugal,Bebidas alcoólicas e tabaco,,,,,7.51
1995,Portugal,Bens e serviços diversos,,,,,7.09
