01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2002,Espanha,,,,,,,749744.0
2002,Estónia,,,,,,,7824.9
2002,Finlândia,,,,,,,148440.0
2002,França,,,,,,,1578330.4
2002,Grécia,,,,,,,158902.3
2002,Hungria,,,,,,,71785.3
2002,Irlanda,,,,,,,135997.9
2002,Itália,,,,,,,1355522.3
2002,Letónia,,,,,,,9841.0
2002,Lituânia,,,,,,,15177.2
2002,Luxemburgo,,,,,,,25011.1
2002,Malta,,,,,,,4724.5
2002,Países Baixos,,,,,,,502901.0
2002,Polónia,,,,,,,211220.0
2002,Portugal,,,,,,,142554.3
2002,Roménia,,,,,,,48695.7
2002,Suécia,,,,,,,284182.8
2002,União Europeia 27,,,,,,,8559614.0
2003,,Portugal,,,,,,146067.9
2003,Alemanha,,,,,,,2240810.0
2003,Áustria,,,,,,,230541.9
2003,Bélgica,,,,,,,281200.2
2003,Bulgária,,,,,,,18798.3
2003,Chéquia,,,,,,,88965.6
2003,Chipre,,,,,,,12871.3
2003,Croácia,,,,,,,31016.3
2003,Dinamarca,,,,,,,193641.7
2003,Eslováquia,,,,,,,29924.1
2003,Eslovénia,,,,,,,26004.7
2003,Espanha,,,,,,,802683.0
2003,Estónia,,,,,,,8746.7
2003,Finlândia,,,,,,,151714.0
2003,França,,,,,,,1622312.8
2003,Grécia,,,,,,,174096.0
2003,Hungria,,,,,,,75344.2
2003,Irlanda,,,,,,,145576.9
2003,Itália,,,,,,,1399386.0
2003,Letónia,,,,,,,10029.0
2003,Lituânia,,,,,,,16674.6
2003,Luxemburgo,,,,,,,26227.3
2003,Malta,,,,,,,4796.9
2003,Países Baixos,,,,,,,514901.0
2003,Polónia,,,,,,,193199.6
2003,Portugal,,,,,,,146067.9
2003,Roménia,,,,,,,51108.5
2003,Suécia,,,,,,,296070.9
2003,União Europeia 27,,,,,,,8792709.3
2004,,Portugal,,,,,,152248.4
2004,Alemanha,,,,,,,2293040.0
2004,Áustria,,,,,,,240541.7
2004,Bélgica,,,,,,,296819.7
2004,Bulgária,,,,,,,21093.2
2004,Chéquia,,,,,,,96822.8
2004,Chipre,,,,,,,13938.0
2004,Croácia,,,,,,,33802.7
2004,Dinamarca,,,,,,,202915.9
2004,Eslováquia,,,,,,,34623.4
2004,Eslovénia,,,,,,,27484.3
2004,Espanha,,,,,,,860059.0
2004,Estónia,,,,,,,9779.6
2004,Finlândia,,,,,,,158741.0
2004,França,,,,,,,1696107.7
2004,Grécia,,,,,,,188905.2
2004,Hungria,,,,,,,83798.3
2004,Irlanda,,,,,,,156260.0
2004,Itália,,,,,,,1457356.2
2004,Letónia,,,,,,,11229.7
2004,Lituânia,,,,,,,18312.5
2004,Luxemburgo,,,,,,,28189.4
2004,Malta,,,,,,,4915.6
2004,Países Baixos,,,,,,,531573.0
2004,Polónia,,,,,,,207064.4
2004,Portugal,,,,,,,152248.4
2004,Roménia,,,,,,,60402.0
2004,Suécia,,,,,,,309720.9
2004,União Europeia 27,,,,,,,9195744.5
2005,,Portugal,,,,,,158552.7
2005,Alemanha,,,,,,,2325710.0
2005,Áustria,,,,,,,252354.9
2005,Bélgica,,,,,,,310037.6
2005,Bulgária,,,,,,,24039.9
2005,Chéquia,,,,,,,110418.8
2005,Chipre,,,,,,,15039.3
2005,Croácia,,,,,,,36834.9
2005,Dinamarca,,,,,,,213381.8
2005,Eslováquia,,,,,,,39239.7
2005,Eslovénia,,,,,,,28914.4
2005,Espanha,,,,,,,928122.0
2005,Estónia,,,,,,,11345.4
2005,Finlândia,,,,,,,164666.0
2005,França,,,,,,,1762047.7
2005,Grécia,,,,,,,194773.4
2005,Hungria,,,,,,,90999.5
2005,Irlanda,,,,,,,170306.8
2005,Itália,,,,,,,1499073.1
2005,Letónia,,,,,,,13226.9
2005,Lituânia,,,,,,,20986.0
2005,Luxemburgo,,,,,,,30281.0
2005,Malta,,,,,,,5133.8
2005,Países Baixos,,,,,,,553122.0
2005,Polónia,,,,,,,246903.6
2005,Portugal,,,,,,,158552.7
2005,Roménia,,,,,,,79223.9
2005,Suécia,,,,,,,315348.4
2005,União Europeia 27,,,,,,,9600083.4
2006,,Portugal,,,,,,166260.5
2006,Alemanha,,,,,,,2426180.0
2006,Áustria,,,,,,,265933.7
2006,Bélgica,,,,,,,325151.5
2006,Bulgária,,,,,,,27410.0
2006,Chéquia,,,,,,,124559.0
2006,Chipre,,,,,,,16263.8
2006,Croácia,,,,,,,40626.5
2006,Dinamarca,,,,,,,225930.8
2006,Eslováquia,,,,,,,45592.0
2006,Eslovénia,,,,,,,31300.2
2006,Espanha,,,,,,,1004976.0
2006,Estónia,,,,,,,13571.2
2006,Finlândia,,,,,,,172861.0
2006,França,,,,,,,1846020.8
2006,Grécia,,,,,,,214298.9
2006,Hungria,,,,,,,92038.0
2006,Irlanda,,,,,,,184916.2
2006,Itália,,,,,,,1559864.2
2006,Letónia,,,,,,,16449.4
2006,Lituânia,,,,,,,23999.6
2006,Luxemburgo,,,,,,,34175.0
2006,Malta,,,,,,,5380.6
2006,Países Baixos,,,,,,,587444.0
2006,Polónia,,,,,,,275514.0
2006,Portugal,,,,,,,166260.5
2006,Roménia,,,,,,,97215.6
2006,Suécia,,,,,,,336866.7
2006,União Europeia 27,,,,,,,10160799.0
2007,,Portugal,,,,,,175483.4
2007,Alemanha,,,,,,,2542220.0
2007,Áustria,,,,,,,282208.2
2007,Bélgica,,,,,,,343618.9
2007,Bulgária,,,,,,,32464.7
2007,Chéquia,,,,,,,138897.5
2007,Chipre,,,,,,,17591.0
2007,Croácia,,,,,,,44428.7
2007,Dinamarca,,,,,,,233960.3
2007,Eslováquia,,,,,,,56354.7
2007,Eslovénia,,,,,,,34936.9
2007,Espanha,,,,,,,1077541.0
2007,Estónia,,,,,,,16402.2
2007,Finlândia,,,,,,,187059.0
2007,França,,,,,,,1937876.3
2007,Grécia,,,,,,,229282.8
2007,Hungria,,,,,,,102368.2
2007,Irlanda,,,,,,,197069.4
2007,Itália,,,,,,,1621714.5
2007,Letónia,,,,,,,21592.4
2007,Lituânia,,,,,,,29034.1
2007,Luxemburgo,,,,,,,37641.9
2007,Malta,,,,,,,5778.2
2007,Países Baixos,,,,,,,622775.0
2007,Polónia,,,,,,,314356.3
2007,Portugal,,,,,,,175483.4
2007,Roménia,,,,,,,127632.0
2007,Suécia,,,,,,,358064.8
2007,União Europeia 27,,,,,,,10788352.5
2008,,Portugal,,,,,,179102.8
2008,Alemanha,,,,,,,2589280.0
2008,Áustria,,,,,,,291846.2
2008,Bélgica,,,,,,,351743.1
2008,Bulgária,,,,,,,37246.7
2008,Chéquia,,,,,,,161852.2
2008,Chipre,,,,,,,19009.5
2008,Croácia,,,,,,,48560.7
2008,Dinamarca,,,,,,,242720.1
2008,Eslováquia,,,,,,,66065.4
2008,Eslovénia,,,,,,,37742.1
2008,Espanha,,,,,,,1112432.0
2008,Estónia,,,,,,,16618.9
2008,Finlândia,,,,,,,194253.0
2008,França,,,,,,,1989999.7
2008,Grécia,,,,,,,238735.4
2008,Hungria,,,,,,,108278.8
2008,Irlanda,,,,,,,187283.0
2008,Itália,,,,,,,1643718.8
2008,Letónia,,,,,,,23355.3
2008,Lituânia,,,,,,,32683.1
2008,Luxemburgo,,,,,,,40009.6
2008,Malta,,,,,,,6236.5
2008,Países Baixos,,,,,,,651299.0
2008,Polónia,,,,,,,367420.9
2008,Portugal,,,,,,,179102.8
2008,Roménia,,,,,,,146589.7
2008,Suécia,,,,,,,352761.6
2008,União Europeia 27,,,,,,,11136844.0
2009,,Portugal,,,,,,175416.4
2009,Alemanha,,,,,,,2493970.0
2009,Áustria,,,,,,,286274.1
2009,Bélgica,,,,,,Quebra de série,347734.9
2009,Bulgária,,,,,,,37417.7
2009,Chéquia,,,,,,,149253.1
2009,Chipre,,,,,,,18675.5
2009,Croácia,,,,,,,45865.4
2009,Dinamarca,,,,,,,232270.0
2009,Eslováquia,,,,,,,64055.1
2009,Eslovénia,,,,,,,35830.3
2009,Espanha,,,,,,,1072990.0
2009,Estónia,,,,,,,14132.5
2009,Finlândia,,,,,,,181735.0
2009,França,,,,,,,1935840.2
2009,Grécia,,,,,,,234322.6
2009,Hungria,,,,,,,94416.6
2009,Irlanda,,,,,,,169519.7
2009,Itália,,,,,,,1584106.8
2009,Letónia,,,,,,,18406.6
2009,Lituânia,,,,,,,26973.5
2009,Luxemburgo,,,,,,,39050.7
2009,Malta,,,,,,,6287.6
2009,Países Baixos,,,,,,,630173.0
2009,Polónia,,,,,,,317876.9
2009,Portugal,,,,,,,175416.4
2009,Roménia,,,,,,,125219.8
2009,Suécia,,,,,,,313033.6
2009,União Europeia 27,,,,,,,10650847.8
2010,,Portugal,,,,,,179860.4
2010,Alemanha,,,,,,,2615260.0
2010,Áustria,,,,,,,294050.6
2010,Bélgica,,,,,,,363242.4
2010,Bulgária,,,,,,,38290.0
2010,Chéquia,,,,,,,159506.1
2010,Chipre,,,,,,,19461.1
2010,Croácia,,,,,,,45988.9
2010,Dinamarca,,,,,,,243429.9
2010,Eslováquia,,,,,,,68726.7
2010,Eslovénia,,,,,,,36050.8
2010,Espanha,,,,,,,1077145.0
2010,Estónia,,,,,,,14741.8
